129411, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
129411, 	狼冤	1	639	35	-16	0.7	3 	340
129411, 	一叶丶枫落	2	583	10	-24	1	9 	196
129411, 	疯狂释战魂	3	616	218	-24	1	4 	310
129411, 	xiao小是	4	630	110	-24	1	8 	218
129411, 	狂霸王12	5	565	231	-24	1	6 	279
129411, 	纯属Diane猥琐	6	686	57	-22	1	10 	192
129411, 	爱你一场梦	7	600	158	-24	1	5 	283
129411, 	Goodbye深爱的	8	650	162	-24	1	7 	262
129411, 	RoyalMM单挑	9	606	54	-10	0.5	1 	360
129411, 	酒醉天涯	10	750	282	0	0.6	2 	351
129411, 	快乐小伟丶	11	649	31	2	1.5	2 	496
129411, 	哥灬孤霜	12	823	108	22	1	7 	318
129411, 	Ta跌	13	627	6	58	1	9 	259
129411, 	惹火大少爷	14	563	106	26	1	6 	322
129411, 	混沌值丶	15	571	1	212	2	1 	721
129411, 	q俺是新手你咋滴	16	564	189	32	1.2	3 	475
129411, 	右耳钉丶残恋	17	583	60	26	1	10 	180
129411, 	丶乖乖小桐	18	563	308	26	1	5 	392
129411, 	世界如此灬残酷	19	621	65	24	1	8 	293
129411, 	转角遇到你小妹	20	559	287	26	1	4 	463
