158706, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
158706, 	心境比较平淡	1	601	203	-22	1	5 	368
158706, 	找偷情少妇	2	551	117	-12	0.5	1 	601
158706, 	包子没有腰丶	3	589	397	-22	1	4 	378
158706, 	爽儿亲亲	4	501	269	0	1	9 	297
158706, 	小黄啊啊啊啊123	5	625	82	-24	1	7 	355
158706, 	再续那温柔	6	570	64	-16	0.7	3 	510
158706, 	消逝地承诺	7	612	258	-22	1	6 	365
158706, 	hejiting	8	588	56	-14	0.6	2 	554
158706, 	q421628632	9	558	202	-14	1	10 	251
158706, 	右耳钉丶残恋	10	577	65	-22	1	8 	345
158706, 	手指太阳说丨曰	11	643	29	14	1	7 	352
158706, 	天下无双灬独眼	12	504	584	26	1	10 	177
158706, 	威芬520	13	634	44	28	1.2	3 	458
158706, 	把莪遗忘	14	634	52	24	1	4 	454
158706, 	txp000	15	593	266	14	1	5 	452
158706, 	新手三百三	16	613	312	24	1	6 	369
158706, 	珉昊2	17	579	374	24	1	9 	296
158706, 	大猛子3	18	650	95	48	2	1 	672
158706, 	一级就被杀	19	626	172	36	1.5	2 	508
158706, 	我的懿宝	20	650	245	24	1	8 	329
