[2018-10-09 19:37:04] [6392] [2:error] [265703] build version:(1010025)
[2018-10-09 19:37:07] [11448] [2:error] [268296] Invoke nomal login
[2018-10-09 19:37:07] [11448] [2:error] [268406] Get srv info: 1000432060
[2018-10-09 19:37:07] [11448] [2:error] [268406] Get srv info: 60907964
[2018-10-09 19:37:07] [11448] [2:error] [268406] Get srv info: 1000432060
[2018-10-09 19:37:07] [11448] [2:error] [268406] Get srv info: 60907964
[2018-10-09 19:37:07] [11448] [2:error] [268406] Req st one time
[2018-10-09 19:37:07] [11584] [2:error] [268421] current srv info: 1000432060 
[2018-10-09 19:37:07] [11584] [2:error] [268484] ip: 1000432060 connect successfully
[2018-10-09 19:37:07] [11584] [2:error] [268812] current srv info: 1000432060 
[2018-10-09 19:37:07] [11584] [2:error] [268875] ip: 1000432060 connect successfully
