138731, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
138731, 	后院扫地的	1	600	0	142	1.2	3 	444
138731, 	月夜之神0	2	601	116	24	1	5 	408
138731, 	逗祸灬拍拍熊	3	561	404	26	1	7 	364
138731, 	凉月清酒醉人意	4	551	152	24	1	10 	223
138731, 	qq844413961	5	632	34	24	1	6 	391
138731, 	lolcf	6	650	34	48	2	1 	710
138731, 	妹灬你伤不起	7	602	72	24	1	9 	225
138731, 	右耳钉丶残恋	8	571	57	24	1	4 	417
138731, 	因修罗	9	551	133	36	1.5	2 	484
138731, 	你是要疯啊	10	601	79	24	1	8 	303
138731, 	小as孩love欢	11	613	63	-12	0.5	1 	500
138731, 	lin1062648530	12	580	40	-24	1	6 	377
138731, 	砍白菜1号	13	580	10	-16	0.7	3 	443
138731, 	qwe5418897	14	568	192	-24	1	8 	288
138731, 	破了吧叽	15	551	165	-24	1	9 	279
138731, 	一休哥哥7	16	610	111	-14	0.6	2 	444
138731, 	妞丿想哥没	17	662	18	-22	1	7 	361
138731, 	竞技只为娱乐丶	18	600	5	-70	1	10 	241
138731, 	犀利哥丨钱多多	19	628	261	-24	1	5 	413
138731, 	看见二B头疼	20	588	115	-24	1	4 	429
