138474, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
138474, 	唯爱丿吻	1	623	205	36	1.5	2 	718
138474, 	九零後灬小伟	2	668	32	24	1	5 	537
138474, 	q秋月私语	3	618	14	24	1	8 	336
138474, 	没有我不服	4	563	18	26	1	10 	242
138474, 	妞丿想哥没	5	650	17	24	1	7 	423
138474, 	lin1062648530	6	564	39	32	1.2	3 	601
138474, 	犀利哥丨钱多多	7	616	260	24	1	6 	491
138474, 	不爱破c丶	8	544	98	12	1	4 	562
138474, 	你好加我	9	667	78	48	2	1 	734
138474, 	弑你的灬小眯	10	551	149	24	1	9 	310
138474, 	走红D调	11	588	63	-16	0.7	3 	418
138474, 	大将军9999	12	627	23	-24	1	10 	242
138474, 	本田雅阁也上树	13	632	136	-22	1	5 	390
138474, 	啊米多浮	14	518	248	-24	1	9 	249
138474, 	从哈哈到高手	15	563	31	-24	1	7 	311
138474, 	右耳钉丶残恋	16	577	56	-12	0.5	1 	430
138474, 	我艹403	17	644	172	-14	0.6	2 	421
138474, 	水中月008	18	622	95	-24	1	4 	395
138474, 	马小岱丶1	19	601	101	-24	1	6 	339
138474, 	硪只在乎祢	20	614	161	-24	1	8 	283
