161145, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
161145, 	浮夸一世丶宇mmm	1	541	6	62	1	5 	377
161145, 	无哈哈534	2	527	21	24	1	10 	312
161145, 	C灭天	3	504	9	46	1	7 	345
161145, 	战天英豪	4	535	103	24	1	8 	324
161145, 	真心丶难过	5	544	157	12	1	4 	421
161145, 	夜色终堕落	6	518	89	36	1.5	2 	481
161145, 	wt7358639	7	529	34	24	1	6 	362
161145, 	极品鸭子3000	8	524	130	28	1.2	3 	464
161145, 	过期号码	9	550	185	52	2	1 	661
161145, 	孤影流星11	10	501	175	26	1	9 	323
161145, 	夏季风	11	530	23	-14	0.6	2 	487
161145, 	zuodada	12	514	244	0	1	10 	101
161145, 	晴丶爱你一辈子	13	550	28	-12	0.5	1 	594
161145, 	No乱世丶小败家	14	526	35	-24	1	9 	206
161145, 	天气太热了1	15	514	35	-16	0.7	3 	457
161145, 	出去开始	16	582	78	-24	1	7 	225
161145, 	迩妈丿成妓侍汗	17	514	104	-24	1	8 	217
161145, 	lcdpxt921218	18	534	305	-24	1	5 	365
161145, 	qazwsx736	19	539	138	-24	1	6 	264
161145, 	涛妹251	20	510	20	-18	1	4 	389
