133035, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
133035, 	g丶谨呈	1	551	187	28	1.2	3 	518
133035, 	三千红尘帐	2	501	125	26	1	7 	377
133035, 	aws65681599	3	816	265	24	1	10 	286
133035, 	masae123	4	701	68	40	1.5	2 	564
133035, 	pactivgd	5	650	339	24	1	5 	433
133035, 	MC君临天下	6	594	5	70	1	6 	421
133035, 	右耳钉丶残恋	7	577	63	24	1	9 	371
133035, 	叶子晴天	8	600	302	24	1	8 	373
133035, 	最新一步三回头	9	614	175	24	1	4 	434
133035, 	邓好牛牛	10	586	7	112	2	1 	668
133035, 	p13487413948	11	580	121	-14	0.6	2 	376
133035, 	我萌新	12	531	184	-24	1	7 	231
133035, 	回城456	13	614	377	-14	0.6	2 	376
133035, 	新手完家01	14	501	79	0	1	6 	280
133035, 	你好勺	15	569	103	-12	0.5	1 	448
133035, 	低调丿晓航	16	550	81	0	1	9 	197
133035, 	我还能再战十年	17	600	209	-24	1	4 	344
133035, 	虐杀原型灬晨	18	639	335	-24	1	5 	335
133035, 	死神丶V丶	19	779	165	0	1	10 	105
133035, 	hplovezyp	20	789	85	-24	1	8 	228
