0, map_preloadres()
59,  pos=7Œª÷√ÕÊº“ø™ º∂œœﬂ±£ª§
10679, i=:18    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 18 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =∏ ƒ˛ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =120757753 ,tab_infor[i].disconnectiontime= 0
10679, i=:19    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 19 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =’≈∑… ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =9542802 ,tab_infor[i].disconnectiontime= 0
10679, i=:20    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 20 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =≤‹–› ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =84947556 ,tab_infor[i].disconnectiontime= 0
10679, free_local = 1 _____________________
14333,  pos=14Œª÷√ÕÊº“’˝≥£ÕÀ≥ˆ
14333, i=:1    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 1 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ÀÔ»® ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =123700657 ,tab_infor[i].disconnectiontime= 0
14333, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =≤‹ÿß ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =124207810 ,tab_infor[i].disconnectiontime= 0
14333, i=:3    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =’‘‘∆ ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =123884619 ,tab_infor[i].disconnectiontime= 0
14333, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Ã´ ∑¥» ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =113679260 ,tab_infor[i].disconnectiontime= 0
14333, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =–Ï ¢ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =65389560 ,tab_infor[i].disconnectiontime= 0
