146335, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
146335, 	为了遇见你6	1	501	66	26	1	6 	461
146335, 	农夫洒拳	2	514	126	26	1	10 	303
146335, 	丿丶望天行	3	644	48	12	2	1 	668
146335, 	q1007121167	4	620	357	24	1	5 	544
146335, 	QQ邂逅的夕阳	5	551	178	24	1	7 	433
146335, 	萌颖颖	6	638	119	24	1	8 	428
146335, 	心酸苦酒自己尝	7	766	29	34	1.5	2 	632
146335, 	最流氓的班主任	8	590	162	20	1.2	3 	588
146335, 	右耳钉丶残恋	9	596	61	8	1	9 	351
146335, 	a2059069545	10	614	60	24	1	4 	580
146335, 	q1w2chang2015	11	551	181	-24	1	5 	362
146335, 	昔日小宇	12	707	26	-12	1	9 	266
146335, 	走南闯北1	13	551	90	-14	0.6	2 	529
146335, 	YuanHang	14	553	178	-4	1	4 	384
146335, 	青青孑妗丶	15	600	177	-12	0.5	1 	650
146335, 	神话Oo小金龙oO	16	551	181	-24	1	10 	252
146335, 	离开0000以后	17	601	101	0	1	7 	310
146335, 	折支桃花换酒钱	18	501	49	0	1	8 	291
146335, 	qq752757499	19	615	73	-24	1	6 	358
146335, 	轩辕魂枫	20	642	93	-16	0.7	3 	471
